	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	kegg_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_hits	vogdb_id	vogdb_categories	vogdb_hit	heme_regulatory_motif_count
MAG28_MAG28_8_3	MAG28	MAG28_8	3	2213	5125	1	C	K01207	beta-N-acetylhexosaminidase [EC:3.2.1.52]	MER1006182	S12	MER1006182 - family S12 unassigned peptidases (Prevotella sp. CAG:873) [S12.UPW]#S12#{peptidase unit: 521-909}~source R7IZG8~	True	0.637	489.0	1.7100000000000002e-144	Glycosyl hydrolase family 3 N terminal domain [PF00933.22]; Beta-lactamase [PF00144.25]; Glycosyl hydrolase family 3 C-terminal domain [PF01915.23]	GH3 beta-glucosidase (EC 3.2.1.21); xylan 1,4-beta-xylosidase (EC 3.2.1.37); beta-glucosylceramidase (EC 3.2.1.45); beta-N-acetylhexosaminidase (EC 3.2.1.52); alpha-L-arabinofuranosidase (EC 3.2.1.55); glucan 1,3-beta-glucosidase (EC 3.2.1.58); glucan 1,4-beta-glucosidase (EC 3.2.1.74); isoprimeverose-producing oligoxyloglucan hydrolase (EC 3.2.1.120); coniferin beta-glucosidase (EC 3.2.1.126); exo-1,3-1,4-glucanase (EC 3.2.1.-); beta-N-acetylglucosaminide phosphorylases (EC 2.4.1.-) [GH3]				0
MAG28_MAG28_8_4	MAG28	MAG28_8	4	5122	6057	1	D										PAP2 superfamily [PF01569.22]					0
MAG28_MAG28_8_5	MAG28	MAG28_8	5	6015	7241	-1	C	K03315	Na+:H+ antiporter, NhaC family								Na+/H+ antiporter family [PF03553.15]					0
MAG28_MAG28_8_6	MAG28	MAG28_8	6	7379	7549	1	E															0
MAG28_MAG28_8_7	MAG28	MAG28_8	7	7519	7719	-1	E															0
MAG28_MAG28_8_8	MAG28	MAG28_8	8	7749	8702	1	C	K00845	glucokinase [EC:2.7.1.2]								ROK family [PF00480.21]					0
MAG28_MAG28_8_9	MAG28	MAG28_8	9	8809	9969	1	D										Flavin reductase like domain [PF01613.19]; Rubrerythrin [PF02915.18]; Rubredoxin [PF00301.21]					0
MAG28_MAG28_8_10	MAG28	MAG28_8	10	10061	10585	1	E															0
MAG28_MAG28_8_11	MAG28	MAG28_8	11	10817	11728	-1	C	K00791	tRNA dimethylallyltransferase [EC:2.5.1.75]								IPP transferase [PF01715.18]; Isopentenyl transferase [PF01745.17]					0
MAG28_MAG28_8_12	MAG28	MAG28_8	12	11748	12974	-1	C	K01258	tripeptide aminopeptidase [EC:3.4.11.4]	MER0932543	M20B	MER0932543 - subfamily M20B unassigned peptidases (Bacteroides sp. CAG:927) [M20.UPB]#M20B#{peptidase unit: 15-403}~source R5AZ07~	True	0.849	687.0	1.325e-221	Peptidase family M20/M25/M40 [PF01546.29]; Peptidase dimerisation domain [PF07687.15]					0
MAG28_MAG28_8_13	MAG28	MAG28_8	13	13002	13796	-1	E															0
MAG28_MAG28_8_14	MAG28	MAG28_8	14	13864	14466	-1	D										Family of unknown function (DUF695) [PF05117.13]					0
MAG28_MAG28_8_15	MAG28	MAG28_8	15	14479	16710	-1	C	K02355	elongation factor G								Elongation factor G, domain IV [PF03764.19]; Elongation factor Tu GTP binding domain [PF00009.28]; Elongation factor G C-terminus [PF00679.25]; Elongation Factor G, domain III [PF14492.7]; Elongation factor Tu domain 2 [PF03144.26]					0
MAG28_MAG28_8_16	MAG28	MAG28_8	16	16875	19301	1	C	K01338	ATP-dependent Lon protease [EC:3.4.21.53]	MER1038475	S16	MER1038475 - family S16 unassigned peptidases (Prevotella sp. CAG:873) [S16.UPW]#S16#{peptidase unit: 565-798}~source R7J2M5~	False	0.702	326.0	1.335e-91	Lon protease (S16) C-terminal proteolytic domain [PF05362.14]; ATP-dependent protease La (LON) substrate-binding domain [PF02190.17]; AAA domain (dynein-related subfamily) [PF07728.15]; ATPase family associated with various cellular activities (AAA) [PF00004.30]; Subunit ChlI of Mg-chelatase [PF13541.7]; AAA domain (Cdc48 subfamily) [PF07724.15]		sp|P0ABH9|CLPA_ECOLI	Xh	sp|P0ABH9|CLPA_ECOLI ATP-dependent Clp protease ATP-binding subunit ClpA; Xh	0
MAG28_MAG28_8_17	MAG28	MAG28_8	17	19395	22163	1	C	K03701	excinuclease ABC subunit A								UvrA interaction domain [PF17760.2]; UvrA DNA-binding domain [PF17755.2]; ABC transporter [PF00005.28]; RecF/RecN/SMC N terminal domain [PF02463.20]; AAA domain, putative AbiEii toxin, Type IV TA system [PF13304.7]; AAA ATPase domain [PF13175.7]					1
MAG28_MAG28_8_18	MAG28	MAG28_8	18	22220	22405	-1	E															0
MAG28_MAG28_8_19	MAG28	MAG28_8	19	22546	23412	-1	E															0
MAG28_MAG28_8_20	MAG28	MAG28_8	20	23468	25339	-1	D										Redoxin [PF08534.11]; Thioredoxin-like [PF13905.7]; AhpC/TSA family [PF00578.22]					0
MAG28_MAG28_8_21	MAG28	MAG28_8	21	25438	26193	-1	C	K00240	succinate dehydrogenase / fumarate reductase, iron-sulfur subunit [EC:1.3.5.1 1.3.5.4]								2Fe-2S iron-sulfur cluster binding domain [PF13085.7]; 4Fe-4S dicluster domain [PF13183.7]; 4Fe-4S dicluster domain [PF13237.7]; 4Fe-4S dicluster domain [PF13534.7]; 4Fe-4S dicluster domain [PF13187.7]					0
MAG28_MAG28_8_22	MAG28	MAG28_8	22	26251	28284	-1	C	K00239	succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.1 1.3.5.4]								FAD binding domain [PF00890.25]; Fumarate reductase flavoprotein C-term [PF02910.21]					0
MAG28_MAG28_8_23	MAG28	MAG28_8	23	28297	29358	-1	C	K00241	succinate dehydrogenase / fumarate reductase, cytochrome b subunit													0
MAG28_MAG28_8_24	MAG28	MAG28_8	24	29563	30117	1	C	K01515	ADP-ribose pyrophosphatase [EC:3.6.1.13]								NUDIX domain [PF00293.29]					0
MAG28_MAG28_8_25	MAG28	MAG28_8	25	30181	31113	1	D										Uncharacterised 5xTM membrane BCR, YitT family COG1284 [PF02588.16]; Uncharacterized protein conserved in bacteria (DUF2179) [PF10035.10]					0
MAG28_MAG28_8_26	MAG28	MAG28_8	26	31094	31318	1	D										Domain of unknown function (DUF4492) [PF14899.7]					0
MAG28_MAG28_8_27	MAG28	MAG28_8	27	31322	32821	1	C	K00425	cytochrome bd ubiquinol oxidase subunit I [EC:7.1.1.7]								Cytochrome bd terminal oxidase subunit I [PF01654.18]					0
MAG28_MAG28_80_1	MAG28	MAG28_80	1	2	832	-1	C	K01624	fructose-bisphosphate aldolase, class II [EC:4.1.2.13]								Fructose-bisphosphate aldolase class-II [PF01116.21]					0
MAG28_MAG28_80_2	MAG28	MAG28_80	2	1085	1747	1	C	K00857	thymidine kinase [EC:2.7.1.21]								Thymidine kinase [PF00265.19]		sp|P13300|KITH_BPT4	Xr;Xh	sp|P13300|KITH_BPT4 Thymidine kinase; XhXr	0
MAG28_MAG28_80_3	MAG28	MAG28_80	3	1774	2232	1	C	K19334	biofilm protein TabA								YhcH/YjgK/YiaL [PF04074.13]					0
MAG28_MAG28_80_4	MAG28	MAG28_80	4	2293	3078	1	D										Protein of unknown function (DUF3108) [PF11306.9]					0
MAG28_MAG28_80_5	MAG28	MAG28_80	5	3082	3642	1	E															0
MAG28_MAG28_80_6	MAG28	MAG28_80	6	3622	4380	-1	D										ABC transporter [PF00005.28]; RecF/RecN/SMC N terminal domain [PF02463.20]					0
MAG28_MAG28_80_7	MAG28	MAG28_80	7	4382	5401	-1	C	K02015	iron complex transport system permease protein								FecCD transport family [PF01032.19]					0
MAG28_MAG28_80_8	MAG28	MAG28_80	8	5398	6531	-1	C	K02016	iron complex transport system substrate-binding protein								Periplasmic binding protein [PF01497.19]					0
MAG28_MAG28_80_9	MAG28	MAG28_80	9	6528	7031	-1	D										Protein of unknown function (DUF805) [PF05656.15]					0
MAG28_MAG28_80_10	MAG28	MAG28_80	10	7105	8442	-1	C	K00262	glutamate dehydrogenase (NADP+) [EC:1.4.1.4]								Glutamate/Leucine/Phenylalanine/Valine dehydrogenase [PF00208.22]; Glu/Leu/Phe/Val dehydrogenase, dimerisation domain [PF02812.19]					0
MAG28_MAG28_80_11	MAG28	MAG28_80	11	9471	10007	1	E															0
MAG28_MAG28_80_12	MAG28	MAG28_80	12	10099	10926	1	D			MER1002973	S09B	MER1002973 - subfamily S9B non-peptidase homologues (Rhodopirellula maiorica) [S09.UNB]#S09B#{peptidase unit: 21-160}~source M5RJC4~	False	0.315	71.0	5.841e-12	Esterase PHB depolymerase [PF10503.10]; Putative esterase [PF00756.21]	CE1 acetyl xylan esterase (EC 3.1.1.72); cinnamoyl esterase (EC 3.1.1.-); feruloyl esterase (EC 3.1.1.73); carboxylesterase (EC 3.1.1.1); S-formylglutathione hydrolase (EC 3.1.2.12); diacylglycerol O-acyltransferase (EC 2.3.1.20); trehalose 6-O-mycolyltransferase (EC 2.3.1.122) [CE1]				0
MAG28_MAG28_81_1	MAG28	MAG28_81	1	1	255	-1	E															0
MAG28_MAG28_81_2	MAG28	MAG28_81	2	559	801	-1	E															0
MAG28_MAG28_81_3	MAG28	MAG28_81	3	996	1478	1	C	K03088	RNA polymerase sigma-70 factor, ECF subfamily								Sigma-70 region 2 [PF04542.15]; ECF sigma factor [PF07638.12]; Sigma-70, region 4 [PF04545.17]; Sigma-70, region 4 [PF08281.13]; Bacterial regulatory proteins, luxR family [PF00196.20]; Putative helix-turn-helix protein, YlxM / p13 like [PF04297.15]					0
MAG28_MAG28_81_4	MAG28	MAG28_81	4	1478	2134	1	E															0
MAG28_MAG28_81_5	MAG28	MAG28_81	5	2147	2986	1	E															0
MAG28_MAG28_81_6	MAG28	MAG28_81	6	3067	3936	-1	D										Acetyltransferase (GNAT) family [PF00583.26]					0
MAG28_MAG28_81_7	MAG28	MAG28_81	7	4036	4284	1	D										Transglycosylase associated protein [PF04226.14]					0
MAG28_MAG28_81_8	MAG28	MAG28_81	8	4350	7256	-1	C	K07263	zinc protease [EC:3.4.24.-]	MER0391120	M16B	MER0391120 - subfamily M16B unassigned peptidases (Prevotella nigrescens) [M16.UPB]#M16B#{peptidase unit: 72-561}~source ZP_08672270~	True	0.562	526.0	6.204e-157	Peptidase M16 inactive domain [PF05193.22]; Insulinase (Peptidase family M16) [PF00675.21]					0
MAG28_MAG28_81_9	MAG28	MAG28_81	9	7280	8020	-1	E															0
MAG28_MAG28_81_10	MAG28	MAG28_81	10	8226	8759	-1	E															0
MAG28_MAG28_81_11	MAG28	MAG28_81	11	8756	9967	-1	C	K01372	bleomycin hydrolase [EC:3.4.22.40]	MER1167277	C01B	MER1167277 - subfamily C1B unassigned peptidases () [C01.UPB]#C01B#{peptidase unit: 19-399}~source OKY85393~	True	0.757	573.0	1.824e-182	Peptidase C1-like family [PF03051.16]; Papain family cysteine protease [PF00112.24]					0
MAG28_MAG28_81_12	MAG28	MAG28_81	12	9968	10858	-1	C	K01754	threonine dehydratase [EC:4.3.1.19]								Pyridoxal-phosphate dependent enzyme [PF00291.26]					0
MAG28_MAG28_82_1	MAG28	MAG28_82	1	2	3547	1	C	K03737	pyruvate-ferredoxin/flavodoxin oxidoreductase [EC:1.2.7.1 1.2.7.-]								Pyruvate flavodoxin/ferredoxin oxidoreductase, thiamine diP-bdg [PF01855.20]; Pyruvate ferredoxin/flavodoxin oxidoreductase [PF01558.19]; Pyruvate:ferredoxin oxidoreductase core domain II [PF17147.5]; 4Fe-4S double cluster binding domain [PF13484.7]; Domain of unknown function [PF10371.10]; 4Fe-4S dicluster domain [PF13237.7]; 4Fe-4S dicluster domain [PF13187.7]; Thiamine pyrophosphate enzyme, C-terminal TPP binding domain [PF02775.22]; 4Fe-4S dicluster domain [PF14697.7]; 4Fe-4S dicluster domain [PF13183.7]; 4Fe-4S dicluster domain [PF13534.7]					0
MAG28_MAG28_82_2	MAG28	MAG28_82	2	3648	4991	1	C	K06889	uncharacterized protein	MER0487728	S33	MER0487728 - family S33 unassigned peptidases (Prevotella buccae) [S33.UPW]#S33#{peptidase unit: 175-419}~source ZP_07883551~	False	0.414	186.0	8.7e-49	X-Pro dipeptidyl-peptidase (S15 family) [PF02129.19]; Serine aminopeptidase, S33 [PF12146.9]					0
MAG28_MAG28_82_3	MAG28	MAG28_82	3	4996	5967	1	E															0
MAG28_MAG28_82_4	MAG28	MAG28_82	4	5964	6188	1	E															0
MAG28_MAG28_82_5	MAG28	MAG28_82	5	6267	6608	-1	D										Protein of unknown function (DUF5131) [PF07505.12]		REFSEQ	Xu	REFSEQ hypothetical protein; Xu	0
MAG28_MAG28_82_6	MAG28	MAG28_82	6	6823	7779	1	C	K03828	putative acetyltransferase [EC:2.3.1.-]								Acetyltransferase (GNAT) family [PF00583.26]; Acetyltransferase (GNAT) domain [PF13673.8]; Acetyltransferase (GNAT) domain [PF13508.8]; Winged helix DNA-binding domain [PF13463.7]; MarR family [PF12802.8]; Acetyltransferase (GNAT) domain [PF13420.8]; FR47-like protein [PF08445.11]					0
MAG28_MAG28_82_7	MAG28	MAG28_82	7	7796	8134	1	D										Cupin domain [PF07883.12]					0
MAG28_MAG28_82_8	MAG28	MAG28_82	8	8253	8780	-1	E															0
MAG28_MAG28_82_9	MAG28	MAG28_82	9	8787	9368	-1	D										Nitroreductase family [PF00881.25]					0
MAG28_MAG28_82_10	MAG28	MAG28_82	10	9374	9634	1	E															0
MAG28_MAG28_82_11	MAG28	MAG28_82	11	9587	10837	-1	C	K01805	xylose isomerase [EC:5.3.1.5]													0
MAG28_MAG28_83_1	MAG28	MAG28_83	1	3	1694	1	E															0
MAG28_MAG28_83_2	MAG28	MAG28_83	2	1691	2857	1	E															0
MAG28_MAG28_83_3	MAG28	MAG28_83	3	3140	4291	1	C	K00099	1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267]								1-deoxy-D-xylulose 5-phosphate reductoisomerase C-terminal domain [PF08436.13]; 1-deoxy-D-xylulose 5-phosphate reductoisomerase [PF02670.17]; DXP reductoisomerase C-terminal domain [PF13288.7]					0
MAG28_MAG28_83_4	MAG28	MAG28_83	4	4394	5839	1	C	K11749	regulator of sigma E protease [EC:3.4.24.-]	MER0890520	M50B	MER0890520 - subfamily M50B unassigned peptidases (Bacteroides sp. CAG:927) [M50.UPB]#M50B#{peptidase unit: 5-443}~source R5B8L7~	True	0.53	466.0	8.883000000000002e-144	Peptidase family M50 [PF02163.23]; PDZ domain [PF13180.7]; PDZ domain [PF17820.2]					0
MAG28_MAG28_83_5	MAG28	MAG28_83	5	5836	7038	1	C	K06969	23S rRNA (cytosine1962-C5)-methyltransferase [EC:2.1.1.191]								S-adenosylmethionine-dependent methyltransferase [PF10672.10]; PUA-like domain [PF17785.2]; Conserved hypothetical protein 95 [PF03602.16]; Met-10+ like-protein [PF02475.17]; Methyltransferase small domain [PF05175.15]; tRNA (Uracil-5-)-methyltransferase [PF05958.12]					0
MAG28_MAG28_83_6	MAG28	MAG28_83	6	7157	8029	1	C	K03521	electron transfer flavoprotein beta subunit								Electron transfer flavoprotein domain [PF01012.22]					0
MAG28_MAG28_83_7	MAG28	MAG28_83	7	8056	9084	1	C	K03522	electron transfer flavoprotein alpha subunit								Electron transfer flavoprotein FAD-binding domain [PF00766.20]; Electron transfer flavoprotein domain [PF01012.22]					0
MAG28_MAG28_83_8	MAG28	MAG28_83	8	9091	10791	1	D										Acyl-CoA dehydrogenase C terminal [PF12186.9]; Acyl-CoA dehydrogenase, C-terminal domain [PF00441.25]; Acyl-CoA dehydrogenase, middle domain [PF02770.20]; Acyl-CoA dehydrogenase, N-terminal domain [PF02771.17]; Acyl-CoA dehydrogenase, C-terminal domain [PF08028.12]					0
MAG28_MAG28_84_1	MAG28	MAG28_84	1	3	2885	-1	E															0
MAG28_MAG28_84_2	MAG28	MAG28_84	2	2888	6037	-1	D										alpha-L-rhamnosidase [PF17132.5]; Glycosyl hydrolases family 2, sugar binding domain [PF02837.19]	GH106 alpha-L-rhamnosidase (EC 3.2.1.40); rhamnogalacturonan alpha-L-rhamnohydrolase (EC 3.2.1.174) [GH106]				0
MAG28_MAG28_84_3	MAG28	MAG28_84	3	6250	8874	1	D										Pectate lyase superfamily protein [PF12708.8]	GH28 polygalacturonase (EC 3.2.1.15); alpha-L-rhamnosidase (EC 3.2.1.40); exo-polygalacturonase (EC 3.2.1.67); exo-polygalacturonosidase (EC 3.2.1.82); rhamnogalacturonase (EC 3.2.1.171); rhamnogalacturonan alpha-1,2-galacturonohydrolase (EC 3.2.1.173); endo-xylogalacturonan hydrolase (EC 3.2.1.-) [GH28]				0
MAG28_MAG28_84_4	MAG28	MAG28_84	4	8888	9688	1	D			MER0030316	S09X	MER0030316 - family S9 unassigned peptidases (Bacteroides thetaiotaomicron) [S09.UPW]#S09X#{peptidase unit: 1-260}~source Q8A8H5~	False	0.611	313.0	7.036e-95	alpha/beta hydrolase fold [PF07859.14]; Prolyl oligopeptidase family [PF00326.22]; Dienelactone hydrolase family [PF01738.19]	CE10 arylesterase (EC 3.1.1.-); carboxyl esterase (EC 3.1.1.3); acetylcholinesterase (EC 3.1.1.7); cholinesterase (EC 3.1.1.8); sterol esterase (EC 3.1.1.13); brefeldin A esterase (EC 3.1.1.-). [CE10]				0
MAG28_MAG28_84_5	MAG28	MAG28_84	5	9713	10612	1	C	K02238	competence protein ComEC								Metallo-beta-lactamase superfamily [PF00753.28]; Beta-lactamase superfamily domain [PF12706.8]					0
MAG28_MAG28_85_1	MAG28	MAG28_85	1	1	135	1	E															0
MAG28_MAG28_85_2	MAG28	MAG28_85	2	262	453	-1	E															0
MAG28_MAG28_85_3	MAG28	MAG28_85	3	595	1941	1	C	K03699	putative hemolysin								Cyclin M transmembrane N-terminal domain [PF01595.21]; Transporter associated domain [PF03471.18]; CBS domain [PF00571.29]					0
MAG28_MAG28_85_4	MAG28	MAG28_85	4	1938	2489	1	E															0
MAG28_MAG28_85_5	MAG28	MAG28_85	5	2486	2995	1	C	K06133	4'-phosphopantetheinyl transferase [EC:2.7.8.-]								4'-phosphopantetheinyl transferase superfamily [PF01648.21]; 4'-phosphopantetheinyl transferase N-terminal domain [PF17837.2]					0
MAG28_MAG28_85_6	MAG28	MAG28_85	6	2972	4048	-1	D										AI-2E family transporter [PF01594.17]					0
MAG28_MAG28_85_7	MAG28	MAG28_85	7	4501	4599	1	E															0
MAG28_MAG28_85_8	MAG28	MAG28_85	8	4596	5711	1	C	K03585	membrane fusion protein, multidrug efflux system								Barrel-sandwich domain of CusB or HlyD membrane-fusion [PF16576.6]; HlyD family secretion protein [PF13437.7]; Biotin-lipoyl like [PF13533.7]; HlyD membrane-fusion protein of T1SS [PF00529.21]					0
MAG28_MAG28_85_9	MAG28	MAG28_85	9	5764	9156	1	D										AcrB/AcrD/AcrF family [PF00873.20]; MMPL family [PF03176.16]					0
MAG28_MAG28_85_10	MAG28	MAG28_85	10	9216	10601	1	D										Outer membrane efflux protein [PF02321.19]					0
MAG28_MAG28_86_1	MAG28	MAG28_86	1	132	1583	1	E															0
MAG28_MAG28_86_2	MAG28	MAG28_86	2	1711	2061	1	D										MazG nucleotide pyrophosphohydrolase domain [PF03819.18]; Phosphoribosyl-ATP pyrophosphohydrolase [PF01503.18]					0
MAG28_MAG28_86_3	MAG28	MAG28_86	3	2078	2977	1	C	K01619	deoxyribose-phosphate aldolase [EC:4.1.2.4]								DeoC/LacD family aldolase [PF01791.10]					0
MAG28_MAG28_86_4	MAG28	MAG28_86	4	3051	3617	1	D										Interferon-induced transmembrane protein [PF04505.13]; GYF domain 2 [PF14237.7]					0
MAG28_MAG28_86_5	MAG28	MAG28_86	5	3617	4003	1	D										Protein of unknown function (DUF2752) [PF10825.9]					0
MAG28_MAG28_86_6	MAG28	MAG28_86	6	4178	6898	1	C	K02335	DNA polymerase I [EC:2.7.7.7]								DNA polymerase family A [PF00476.21]; 5'-3' exonuclease, N-terminal resolvase-like domain [PF02739.17]; 5'-3' exonuclease, C-terminal SAM fold [PF01367.21]		sp|P00581|DPOL_BPT7	Xr;Xh	sp|P00581|DPOL_BPT7 DNA-directed DNA polymerase; XhXr	0
MAG28_MAG28_86_7	MAG28	MAG28_86	7	6916	8082	1	D										Protein of unknown function (DUF1343) [PF07075.12]					0
MAG28_MAG28_86_8	MAG28	MAG28_86	8	8085	9545	1	D										Sodium:solute symporter family [PF00474.18]					0
MAG28_MAG28_86_9	MAG28	MAG28_86	9	9545	10432	1	D										WYL domain [PF13280.7]					0
MAG28_MAG28_87_1	MAG28	MAG28_87	1	252	1484	-1	D										ThiF family [PF00899.22]					0
MAG28_MAG28_87_2	MAG28	MAG28_87	2	1500	1682	-1	E															0
MAG28_MAG28_87_3	MAG28	MAG28_87	3	1803	2231	-1	E															0
MAG28_MAG28_87_4	MAG28	MAG28_87	4	2264	3373	-1	D										Prokaryotic homologs of the JAB domain [PF14464.7]					0
MAG28_MAG28_87_5	MAG28	MAG28_87	5	3500	4054	-1	E															0
MAG28_MAG28_87_6	MAG28	MAG28_87	6	4408	6849	1	D										Domain of unknown function (DUF4493) [PF14900.7]; Putative carbohydrate metabolism domain [PF13201.7]					0
MAG28_MAG28_87_7	MAG28	MAG28_87	7	6861	8150	1	D										Domain of unknown function (DUF4493) [PF14900.7]					0
MAG28_MAG28_87_8	MAG28	MAG28_87	8	8166	10319	1	D										Domain of unknown function (DUF4493) [PF14900.7]; Putative carbohydrate metabolism domain [PF13201.7]					0
MAG28_MAG28_88_1	MAG28	MAG28_88	1	1	114	1	E															0
MAG28_MAG28_88_2	MAG28	MAG28_88	2	183	1676	1	C	K22214	propionyl-CoA:succinyl-CoA transferase [EC:2.8.3.-]								Acetyl-CoA hydrolase/transferase C-terminal domain [PF13336.7]; Acetyl-CoA hydrolase/transferase N-terminal domain [PF02550.16]					0
MAG28_MAG28_88_3	MAG28	MAG28_88	3	1904	3271	1	D										Domain of unknown function (DUF389) [PF04087.15]; Serpentine type 7TM GPCR chemoreceptor Srb [PF02175.17]					0
MAG28_MAG28_88_4	MAG28	MAG28_88	4	3268	4872	1	D										Dolichyl-phosphate-mannose-protein mannosyltransferase [PF13231.7]	GT83 undecaprenyl phosphate-alpha-L-Ara4N: 4-amino-4-deoxy-beta-L-arabinosyltransferase (EC 2.4.2.43); dodecaprenyl phosphate-beta-galacturonic acid: lipopolysaccharide core alpha-galacturonosyl transferase (EC 2.4.1.-) [GT83]				0
MAG28_MAG28_88_5	MAG28	MAG28_88	5	4885	5409	1	C	K02217	ferritin [EC:1.16.3.2]								Ferritin-like domain [PF00210.25]					0
MAG28_MAG28_88_6	MAG28	MAG28_88	6	5490	6935	-1	C	K03327	multidrug resistance protein, MATE family								MatE [PF01554.19]					0
MAG28_MAG28_88_7	MAG28	MAG28_88	7	6890	7048	-1	E															0
MAG28_MAG28_88_8	MAG28	MAG28_88	8	7081	10242	1	C	K08676	tricorn protease [EC:3.4.21.-]	MER0172501	S41B	MER0172501 - subfamily S41B unassigned peptidases (Bacteroides coprocola) [S41.UPB]#S41B#{peptidase unit: 741-1113}~source ZP_03008967~	True	0.678	508.0	6.917e-150	Tricorn protease C1 domain [PF14684.7]; Peptidase family S41 [PF03572.19]; Dipeptidyl peptidase IV (DPP IV) N-terminal region [PF00930.22]; WD40-like Beta Propeller Repeat [PF07676.13]; Tricorn protease PDZ domain [PF14685.7]					0
MAG28_MAG28_89_1	MAG28	MAG28_89	1	2	322	1	E															0
MAG28_MAG28_89_2	MAG28	MAG28_89	2	319	1257	1	C	K22723	inositol phosphorylceramide synthase catalytic subunit [EC:2.7.1.227]								PAP2 superfamily [PF14378.7]					0
MAG28_MAG28_89_3	MAG28	MAG28_89	3	1261	2118	1	D										Acyltransferase [PF01553.22]					0
MAG28_MAG28_89_4	MAG28	MAG28_89	4	2118	3059	1	D										CDP-alcohol phosphatidyltransferase [PF01066.22]					0
MAG28_MAG28_89_5	MAG28	MAG28_89	5	3291	3788	-1	C	K03839	flavodoxin I								Flavodoxin [PF00258.26]; Flavodoxin domain [PF12724.8]					0
MAG28_MAG28_89_6	MAG28	MAG28_89	6	3946	5139	-1	C	K09760	DNA recombination protein RmuC								RmuC family [PF02646.17]					0
MAG28_MAG28_89_7	MAG28	MAG28_89	7	5136	5429	-1	D										Bacterial DNA-binding protein [PF00216.22]					0
MAG28_MAG28_89_8	MAG28	MAG28_89	8	5446	6459	-1	D										Phosphate-selective porin O and P [PF07396.12]					0
MAG28_MAG28_89_9	MAG28	MAG28_89	9	6467	8032	-1	D										Putative carbohydrate metabolism domain [PF13201.7]					0
MAG28_MAG28_89_10	MAG28	MAG28_89	10	8029	8871	-1	E															0
MAG28_MAG28_89_11	MAG28	MAG28_89	11	8877	9623	-1	E															0
MAG28_MAG28_89_12	MAG28	MAG28_89	12	9974	10144	1	E															0
MAG28_MAG28_9_1	MAG28	MAG28_9	1	73	1629	1	C	K07391	magnesium chelatase family protein	MER0240484	S16	MER0240484 - family S16 non-peptidase homologues (Bacteroides salanitronis) [S16.UNW]#S16#{peptidase unit: 8-419}~source YP_004259461~	True	0.694	573.0	2.5680000000000003e-180	Magnesium chelatase, subunit ChlI [PF01078.22]; Subunit ChlI of Mg-chelatase [PF13541.7]; Magnesium chelatase, subunit ChlI C-terminal [PF13335.7]; AAA domain (dynein-related subfamily) [PF07728.15]; Lon protease (S16) C-terminal proteolytic domain [PF05362.14]; MCM P-loop domain [PF00493.24]; Sigma-54 interaction domain [PF00158.27]					0
MAG28_MAG28_9_2	MAG28	MAG28_9	2	1703	2584	1	C	K07491	putative transposase								Transposase IS200 like [PF01797.17]					0
MAG28_MAG28_9_3	MAG28	MAG28_9	3	2584	3090	1	C	K01823	isopentenyl-diphosphate Delta-isomerase [EC:5.3.3.2]								NUDIX domain [PF00293.29]					0
MAG28_MAG28_9_4	MAG28	MAG28_9	4	3093	4124	-1	C	K03473	erythronate-4-phosphate dehydrogenase [EC:1.1.1.290]								D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain [PF02826.20]; D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain [PF00389.31]					0
MAG28_MAG28_9_5	MAG28	MAG28_9	5	4106	5065	-1	E															0
MAG28_MAG28_9_6	MAG28	MAG28_9	6	5086	6366	-1	C	K01945	phosphoribosylamine---glycine ligase [EC:6.3.4.13]								Phosphoribosylglycinamide synthetase, ATP-grasp (A) domain [PF01071.20]; Phosphoribosylglycinamide synthetase, N domain [PF02844.16]; Phosphoribosylglycinamide synthetase, C domain [PF02843.17]; ATP-grasp domain [PF02655.15]; ATP-grasp domain [PF13535.7]; ATP-grasp domain [PF08442.11]; RimK-like ATP-grasp domain [PF08443.12]; D-ala D-ala ligase C-terminus [PF07478.14]					0
MAG28_MAG28_9_7	MAG28	MAG28_9	7	6366	7895	-1	C	K07444	putative N6-adenine-specific DNA methylase [EC:2.1.1.-]								Putative RNA methylase family UPF0020 [PF01170.19]; THUMP domain [PF02926.18]; N-6 DNA Methylase [PF02384.17]; Methyltransferase small domain [PF05175.15]; RNA cap guanine-N2 methyltransferase [PF09445.11]					0
MAG28_MAG28_9_8	MAG28	MAG28_9	8	8005	9954	1	C	K03549	KUP system potassium uptake protein								K+ potassium transporter [PF02705.17]					0
MAG28_MAG28_9_9	MAG28	MAG28_9	9	9938	10360	-1	C	K02426	cysteine desulfuration protein SufE								Fe-S metabolism associated domain [PF02657.16]					0
